project_id,project_title,author_name,photo_title,file_name,cloudinary_url
"zp_proj_1780223087506","La Pérdida","George Ramos","","LA PÉRDIDA_006.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423188/FemReptes/Zampa_2026/zp_proj_1780223087506/up6jughxsjn9gslownpy.jpg"
"zp_proj_1780223087506","La Pérdida","George Ramos","","LA PÉRDIDA_005.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423187/FemReptes/Zampa_2026/zp_proj_1780223087506/aagqcmrglscofrliuqrq.jpg"
"zp_proj_1780223087506","La Pérdida","George Ramos","","LA PÉRDIDA_004.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423186/FemReptes/Zampa_2026/zp_proj_1780223087506/zxmbsmnukcpxvgyoae7g.jpg"
"zp_proj_1780223087506","La Pérdida","George Ramos","","LA PÉRDIDA_003.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423185/FemReptes/Zampa_2026/zp_proj_1780223087506/dlet7bju8myvjmiz7ana.jpg"
"zp_proj_1780223087506","La Pérdida","George Ramos","","LA PÉRDIDA_002.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423184/FemReptes/Zampa_2026/zp_proj_1780223087506/thwavgr0bysvhw7hxn3v.jpg"
"zp_proj_1780223087506","La Pérdida","George Ramos","","LA PÉRDIDA_001.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423182/FemReptes/Zampa_2026/zp_proj_1780223087506/imanxhkldfufxfejfnrr.jpg"
"zp_proj_1780223027577","La herida","Álvaro Minguito Palomares","","Premio Zampa La Herida 20.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780422956/FemReptes/Zampa_2026/zp_proj_1780223027577/ga733qgabyazolgmlpzb.jpg"
"zp_proj_1780223027577","La herida","Álvaro Minguito Palomares","","Premio Zampa La Herida 19.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780422955/FemReptes/Zampa_2026/zp_proj_1780223027577/mxvgdgccqucejrw7uano.jpg"
"zp_proj_1780223051291","Alen do Lago","Carlos Folgoso","","Alendolago_020.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423058/FemReptes/Zampa_2026/zp_proj_1780223051291/mogeq5rcoxf9wvycr5eu.jpg"
"zp_proj_1780223051291","Alen do Lago","Carlos Folgoso","","Alendolago_019.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423056/FemReptes/Zampa_2026/zp_proj_1780223051291/odpgulopon1rfnsmgfi4.jpg"
"zp_proj_1780223051291","Alen do Lago","Carlos Folgoso","","Alendolago_018.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423055/FemReptes/Zampa_2026/zp_proj_1780223051291/hjb0ffe3ctppefrohyqt.jpg"
"zp_proj_1780223051291","Alen do Lago","Carlos Folgoso","","Alendolago_017.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423054/FemReptes/Zampa_2026/zp_proj_1780223051291/tcyvbsyco4rtgmh1iijf.jpg"
"zp_proj_1780223051291","Alen do Lago","Carlos Folgoso","","Alendolago_016.jpg","https://res.cloudinary.com/dz1n0g9yg/image/upload/v1780423052/FemReptes/Zampa_2026/zp_proj_1780223051291/py3bn2peqmufoxf870wg.jpg"
